location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#severity+v_ipc,#period+v_ipc,#affected+num,#affected+pct,#date+start,#date+end
HTI,True,True,Carrefour,,,,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Nord-Ouest,,HT09,North-West,,,1,all,first projection,804190,1.0,2025-03-01,2025-06-30
HTI,True,True,Nord-Ouest,,HT09,North-West,,,1,3+,first projection,500726,0.62,2025-03-01,2025-06-30
HTI,True,True,Nord-Ouest,,HT09,North-West,,,1,1,first projection,160838,0.2,2025-03-01,2025-06-30
HTI,True,True,Nord-Ouest,,HT09,North-West,,,1,2,first projection,142626,0.18,2025-03-01,2025-06-30
HTI,True,True,Nord-Ouest,,HT09,North-West,,,1,3,first projection,259469,0.32,2025-03-01,2025-06-30
HTI,True,True,Nord-Ouest,,HT09,North-West,,,1,4,first projection,241257,0.3,2025-03-01,2025-06-30
HTI,True,True,Nord-Ouest,,HT09,North-West,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Nord,,HT03,North,,,1,all,first projection,1221535,1.0,2025-03-01,2025-06-30
HTI,True,True,Nord,,HT03,North,,,1,3+,first projection,516918,0.42,2025-03-01,2025-06-30
HTI,True,True,Nord,,HT03,North,,,1,1,first projection,351576,0.29,2025-03-01,2025-06-30
HTI,True,True,Nord,,HT03,North,,,1,2,first projection,353041,0.29,2025-03-01,2025-06-30
HTI,True,True,Nord,,HT03,North,,,1,3,first projection,364483,0.3,2025-03-01,2025-06-30
HTI,True,True,Nord,,HT03,North,,,1,4,first projection,152435,0.12,2025-03-01,2025-06-30
HTI,True,True,Nord,,HT03,North,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Ouest,,HT01,West,,,1,all,first projection,1250732,1.0,2025-03-01,2025-06-30
HTI,True,True,Ouest,,HT01,West,,,1,3+,first projection,571767,0.45,2025-03-01,2025-06-30
HTI,True,True,Ouest,,HT01,West,,,1,1,first projection,316163,0.25,2025-03-01,2025-06-30
HTI,True,True,Ouest,,HT01,West,,,1,2,first projection,362802,0.29,2025-03-01,2025-06-30
HTI,True,True,Ouest,,HT01,West,,,1,3,first projection,380437,0.3,2025-03-01,2025-06-30
HTI,True,True,Ouest,,HT01,West,,,1,4,first projection,191330,0.15,2025-03-01,2025-06-30
HTI,True,True,Ouest,,HT01,West,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Port au Prince,,,,,,1,all,first projection,636205,1.0,2025-03-01,2025-06-30
HTI,True,True,Port au Prince,,,,,,1,3+,first projection,413533,0.65,2025-03-01,2025-06-30
HTI,True,True,Port au Prince,,,,,,1,1,first projection,95431,0.15,2025-03-01,2025-06-30
HTI,True,True,Port au Prince,,,,,,1,2,first projection,127241,0.2,2025-03-01,2025-06-30
HTI,True,True,Port au Prince,,,,,,1,3,first projection,222672,0.35,2025-03-01,2025-06-30
HTI,True,True,Port au Prince,,,,,,1,4,first projection,190862,0.3,2025-03-01,2025-06-30
HTI,True,True,Port au Prince,,,,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Sud-Est,,HT02,South-East,,,1,all,first projection,799683,1.0,2025-03-01,2025-06-30
HTI,True,True,Sud-Est,,HT02,South-East,,,1,3+,first projection,369654,0.46,2025-03-01,2025-06-30
HTI,True,True,Sud-Est,,HT02,South-East,,,1,1,first projection,223311,0.28,2025-03-01,2025-06-30
HTI,True,True,Sud-Est,,HT02,South-East,,,1,2,first projection,206718,0.26,2025-03-01,2025-06-30
HTI,True,True,Sud-Est,,HT02,South-East,,,1,3,first projection,233108,0.29,2025-03-01,2025-06-30
HTI,True,True,Sud-Est,,HT02,South-East,,,1,4,first projection,136546,0.17,2025-03-01,2025-06-30
HTI,True,True,Sud-Est,,HT02,South-East,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Sud,,HT07,South,,,1,all,first projection,980624,1.0,2025-03-01,2025-06-30
HTI,True,True,Sud,,HT07,South,,,1,3+,first projection,499956,0.51,2025-03-01,2025-06-30
HTI,True,True,Sud,,HT07,South,,,1,1,first projection,227449,0.23,2025-03-01,2025-06-30
HTI,True,True,Sud,,HT07,South,,,1,2,first projection,253219,0.26,2025-03-01,2025-06-30
HTI,True,True,Sud,,HT07,South,,,1,3,first projection,346838,0.35,2025-03-01,2025-06-30
HTI,True,True,Sud,,HT07,South,,,1,4,first projection,153118,0.16,2025-03-01,2025-06-30
HTI,True,True,Sud,,HT07,South,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Tabarre,,,,,,1,all,first projection,40814,1.0,2025-03-01,2025-06-30
HTI,True,True,Tabarre,,,,,,1,3+,first projection,20407,0.5,2025-03-01,2025-06-30
HTI,True,True,Tabarre,,,,,,1,1,first projection,8163,0.2,2025-03-01,2025-06-30
HTI,True,True,Tabarre,,,,,,1,2,first projection,12244,0.3,2025-03-01,2025-06-30
HTI,True,True,Tabarre,,,,,,1,3,first projection,14285,0.35,2025-03-01,2025-06-30
HTI,True,True,Tabarre,,,,,,1,4,first projection,6122,0.15,2025-03-01,2025-06-30
HTI,True,True,Tabarre,,,,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Nord-Est,,HT04,North-East,,,1,all,first projection,487949,1.0,2025-03-01,2025-06-30
HTI,True,True,Nord-Est,,HT04,North-East,,,1,3+,first projection,232311,0.47,2025-03-01,2025-06-30
HTI,True,True,Nord-Est,,HT04,North-East,,,1,1,first projection,125875,0.26,2025-03-01,2025-06-30
HTI,True,True,Nord-Est,,HT04,North-East,,,1,2,first projection,129763,0.27,2025-03-01,2025-06-30
HTI,True,True,Nord-Est,,HT04,North-East,,,1,3,first projection,163007,0.33,2025-03-01,2025-06-30
HTI,True,True,Nord-Est,,HT04,North-East,,,1,4,first projection,69305,0.14,2025-03-01,2025-06-30
HTI,True,True,Nord-Est,,HT04,North-East,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Nippes,,HT10,Nippes,,,1,all,first projection,417164,1.0,2025-03-01,2025-06-30
HTI,True,True,Nippes,,HT10,Nippes,,,1,3+,first projection,250298,0.6,2025-03-01,2025-06-30
HTI,True,True,Nippes,,HT10,Nippes,,,1,1,first projection,83433,0.2,2025-03-01,2025-06-30
HTI,True,True,Nippes,,HT10,Nippes,,,1,2,first projection,83433,0.2,2025-03-01,2025-06-30
HTI,True,True,Nippes,,HT10,Nippes,,,1,3,first projection,156234,0.37,2025-03-01,2025-06-30
HTI,True,True,Nippes,,HT10,Nippes,,,1,4,first projection,94064,0.23,2025-03-01,2025-06-30
HTI,True,True,Nippes,,HT10,Nippes,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Others,,,,,,1,all,first projection,168629,1.0,2025-03-01,2025-06-30
HTI,True,True,Others,,,,,,1,3+,first projection,126472,0.75,2025-03-01,2025-06-30
HTI,True,True,Others,,,,,,1,1,first projection,16863,0.1,2025-03-01,2025-06-30
HTI,True,True,Others,,,,,,1,2,first projection,25294,0.15,2025-03-01,2025-06-30
HTI,True,True,Others,,,,,,1,3,first projection,50589,0.3,2025-03-01,2025-06-30
HTI,True,True,Others,,,,,,1,4,first projection,67452,0.4,2025-03-01,2025-06-30
HTI,True,True,Others,,,,,,1,5,first projection,8431,0.05,2025-03-01,2025-06-30
HTI,True,True,Delmas,,,,,,1,all,first projection,258457,1.0,2025-03-01,2025-06-30
HTI,True,True,Delmas,,,,,,1,3+,first projection,155074,0.6,2025-03-01,2025-06-30
HTI,True,True,Delmas,,,,,,1,1,first projection,51691,0.2,2025-03-01,2025-06-30
HTI,True,True,Delmas,,,,,,1,2,first projection,51691,0.2,2025-03-01,2025-06-30
HTI,True,True,Delmas,,,,,,1,3,first projection,90460,0.35,2025-03-01,2025-06-30
HTI,True,True,Delmas,,,,,,1,4,first projection,64614,0.25,2025-03-01,2025-06-30
HTI,True,True,Delmas,,,,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Croix des Bouquets,,,,,,1,all,first projection,20759,1.0,2025-03-01,2025-06-30
HTI,True,True,Croix des Bouquets,,,,,,1,3+,first projection,12455,0.6,2025-03-01,2025-06-30
HTI,True,True,Croix des Bouquets,,,,,,1,1,first projection,4152,0.2,2025-03-01,2025-06-30
HTI,True,True,Croix des Bouquets,,,,,,1,2,first projection,4152,0.2,2025-03-01,2025-06-30
HTI,True,True,Croix des Bouquets,,,,,,1,3,first projection,7266,0.35,2025-03-01,2025-06-30
HTI,True,True,Croix des Bouquets,,,,,,1,4,first projection,5190,0.25,2025-03-01,2025-06-30
HTI,True,True,Croix des Bouquets,,,,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Artibonite,,HT05,Artibonite,,,1,all,current,1916936,1.0,2024-08-01,2025-02-28
HTI,True,True,Artibonite,,HT05,Artibonite,,,1,3+,current,884899,0.46,2024-08-01,2025-02-28
HTI,True,True,Artibonite,,HT05,Artibonite,,,1,1,current,467546,0.24,2024-08-01,2025-02-28
HTI,True,True,Artibonite,,HT05,Artibonite,,,1,2,current,564491,0.29,2024-08-01,2025-02-28
HTI,True,True,Artibonite,,HT05,Artibonite,,,1,3,current,575081,0.3,2024-08-01,2025-02-28
HTI,True,True,Artibonite,,HT05,Artibonite,,,1,4,current,309818,0.16,2024-08-01,2025-02-28
HTI,True,True,Artibonite,,HT05,Artibonite,,,1,5,current,0,0.0,2024-08-01,2025-02-28
HTI,True,True,Centre,,HT06,Centre,,,1,all,current,853707,1.0,2024-08-01,2025-02-28
HTI,True,True,Centre,,HT06,Centre,,,1,3+,current,404848,0.47,2024-08-01,2025-02-28
HTI,True,True,Centre,,HT06,Centre,,,1,1,current,214752,0.25,2024-08-01,2025-02-28
HTI,True,True,Centre,,HT06,Centre,,,1,2,current,234107,0.27,2024-08-01,2025-02-28
HTI,True,True,Centre,,HT06,Centre,,,1,3,current,256112,0.3,2024-08-01,2025-02-28
HTI,True,True,Centre,,HT06,Centre,,,1,4,current,148736,0.17,2024-08-01,2025-02-28
HTI,True,True,Centre,,HT06,Centre,,,1,5,current,0,0.0,2024-08-01,2025-02-28
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,all,current,540538,1.0,2024-08-01,2025-02-28
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,3+,current,306164,0.57,2024-08-01,2025-02-28
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,1,current,108108,0.2,2024-08-01,2025-02-28
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,2,current,126267,0.23,2024-08-01,2025-02-28
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,3,current,171029,0.32,2024-08-01,2025-02-28
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,4,current,135135,0.25,2024-08-01,2025-02-28
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,5,current,0,0.0,2024-08-01,2025-02-28
HTI,True,True,Nord-Ouest,,HT09,North-West,,,1,all,current,802238,1.0,2024-08-01,2025-02-28
HTI,True,True,Nord-Ouest,,HT09,North-West,,,1,3+,current,481343,0.6,2024-08-01,2025-02-28
